Bedroom2,Type,Average_Price
0.0,Home,1198772.7272727273
0.0,Townhouse,740000.0
0.0,Unit,605666.6666666666
1.0,Home,896515.3846153846
1.0,Townhouse,640890.625
1.0,Unit,392487.192139738
2.0,Home,1033667.03595724
2.0,Townhouse,726641.8032786886
2.0,Unit,607511.3839891452
3.0,Home,1073446.0432595573
3.0,Townhouse,986838.0210409745
3.0,Unit,840049.8217468805
4.0,Home,1383894.1126136112
4.0,Townhouse,1253553.8977777779
4.0,Unit,1188133.3333333333
5.0,Home,1840326.53340185
5.0,Townhouse,1300125.0
5.0,Unit,709500.0
6.0,Home,1902209.0909090908
6.0,Unit,
